Z-4,CH mode,CH Name,RX Freq,TX Freq,Power,RX Only,Alarm ACK,Prompt,PCT,RX TS,TX TS,RX CC,TX CC,Msg Type,TX Policy,RX Group,Encryption List,Scan List,Contacts,EAS,Relay Monitor,Relay mode,Bandwidth,RX QT/DQT,TX QT/DQT,APRS
1,Digital,GrandHaven,443.60000,448.60000,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide ,Off,Off,Mi5 SW 1  ,Off,Off,Off,12.5,Off,Off,Off
2,Digital,Hamilton  ,443.92500,448.92500,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide ,Off,Off,Mi5 SW 1  ,Off,Off,Off,12.5,Off,Off,Off
3,Digital,Muskegon  ,444.95000,449.95000,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide ,Off,Off,Mi5 SW 1  ,Off,Off,Off,12.5,Off,Off,Off
4,Digital,WestOlive ,443.57500,448.57500,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide ,Off,Off,Mi5 SW 1  ,Off,Off,Off,12.5,Off,Off,Off
