Z-2,CH mode,CH Name,RX Freq,TX Freq,Power,RX Only,Alarm ACK,Prompt,PCT,RX TS,TX TS,RX CC,TX CC,Msg Type,TX Policy,RX Group,Encryption List,Scan List,Contacts,EAS,Relay Monitor,Relay mode,Bandwidth,RX QT/DQT,TX QT/DQT,APRS
1,Digital,OpenSpotY,438.40000,438.40000,Low,Off,Off,Off,Patcs,On,On,1,1,Unconfirmed Data,Impolite,XLX Talk,Off,Home Scan,XLX Talk,Off,Off,Off,12.5,Off,Off,Off
2,Digital,KF8S,443.40000,443.40000,Low,Off,Off,Off,Patcs,On,On,1,1,Unconfirmed Data,Impolite,Local 9,Off,Home Scan,Local 9,Off,Off,Off,12.5,Off,Off,1
3,Analog,HotspotTS1,441.40000,441.40000,Low,Off,Off,Off,Patcs,On,On,0,0,Unconfirmed Data,Impolite,B Disconne,Off,Home Scan,B Disc,Off,Off,Off,25,110.9,110.9,Off
4,Digital,HotspotTS2,441.40000,449.40000,Low,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Impolite,XLX Talk,Off,Home Scan,XLX Talk,Off,Off,Off,12.5,Off,Off,Off
5,Analog,FBI Warren,442.60000,447.60000,High,Off,Off,Off,Patcs,Slot 1,Slot 1,0,0,Unconfirmed Data,Impolite,B Disconne,Off,Home Scan,B Disc,Off,Off,Off,25,123.0,123.0,Off
6,Analog,FBI Rich,442.22500,447.22500,High,Off,Off,Off,Patcs,Slot 1,Slot 1,0,0,Unconfirmed Data,Impolite,B Disconne,Off,Home Scan,B Disc,Off,Off,Off,25,123.0,123.0,Off
7,Analog,FBI Romeo,442.07500,447.07500,High,Off,Off,Off,Patcs,Slot 1,Slot 1,0,0,Unconfirmed Data,Impolite,B Disconne,Off,Home Scan,B Disc,Off,Off,Off,25,123.0,123.0,Off
8,Analog,CMN LTS,442.175000,447.17500,High,Off,Off,Off,Patcs,Slot 1,Slot 1,0,0,Unconfirmed Data,Impolite,B Disconne,Off,Home Scan,B Disc,Off,Off,Off,25,123.0,123.0,Off
9,Analog,CMN UMP,443.62500,448.62500,High,Off,Off,Off,Patcs,Slot 1,Slot 1,0,0,Unconfirmed Data,Impolite,B Disconne,Off,Home Scan,B Disc,Off,Off,Off,25,151.4,151.4,Off
