Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
248,K8SN,442.387500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"K8SN near Moline, Allegan County, Michigan OPEN",,,,
249,Green Lake,223.920000,-,1.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8JPR near Moline, Allegan County, Michigan OPEN Part of the West Michigan Technical Group",,,,
250,K8SN,442.175000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8SN near Moline, Allegan County, Michigan OPEN",,,,
251,Lost Lake Woods,442.012500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"W8JJR near Lincoln, Alcona County, Michigan OPEN c-Bridge partner of DMR-MARC",,,,
252,NW8J,145.110000,-,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"NW8J near Grand Rapids, Kent County, Michigan CLOSED Closed repeater for emergency use only!",,,,
253,W8DC,146.760000,-,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"W8DC near Grand Rapids, Kent County, Michigan OPEN",,,,
254,W8IRA,147.160000,+,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8IRA near Grand Rapids, Kent County, Michigan OPEN",,,,
255,W8DC,147.260000,+,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8DC near Grand Rapids, Kent County, Michigan OPEN",,,,
256,KR8T,443.800000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"KR8T near Grand Rapids, Kent County, Michigan OPEN",,,,
257,N8NET,444.100000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8NET near Grand Rapids, Kent County, Michigan OPEN",,,,
